Trial,Initial Temperature,Final Temperature,Alpha,Num Iterations,Num Runs,Offset Increase Rate,Energy,Time
0,133.29176624814346,0.004478910993698631,0.7995166966357614,415,221,3.0501453881162304,-369.38,0.4093922257423401
1,154.38736188330708,0.008212602349638732,0.9283084582567727,108,111,5.058226340582189,-369.38,0.11321061372756958
2,126.28172531915978,0.007165578413335423,0.9037897773959889,92,129,7.682602159245356,-369.38,0.09505495071411132
3,75.27995777137228,0.006197983896452568,0.7009273531422061,126,232,3.3425931279490158,-369.38,0.12383471488952637
4,186.0320152186661,0.0030127828310660292,0.9859650965478866,141,448,9.946402845135971,-205.32,0.13786666393280028
5,105.00397119481795,0.005261335441624478,0.8456449864265214,343,72,3.958105931982459,-369.38,0.3504251742362976
6,52.58062888668945,0.0041935154284598155,0.7184336767364485,255,320,6.69478645770657,-369.38,0.24430078744888306
7,102.22549718298644,0.0015331947156091517,0.7842418512969661,245,161,8.022049975071454,-369.38,0.23603008985519408
8,52.57853404778505,0.00225686737746414,0.8342993306669271,211,141,8.93004692135183,-369.38,0.20193545579910277
9,100.90049195360962,0.00800965583084862,0.9764519093162443,271,454,3.1621328485470808,-369.38,0.25626192808151244
10,91.72494642416152,0.00042366077542356246,0.9822275321992433,425,206,0.8854946583605974,-369.38,0.4043276834487915
11,59.305256069624846,0.00021260951236439873,0.7619338494620169,227,132,0.8488005537771829,-369.38,0.21521668910980224
12,141.78702558538282,0.0019858452220490276,0.9346989366904408,280,493,9.190171924455717,-369.38,0.26866641998291013
13,110.5010191509223,0.007377019133496903,0.9144802156079889,461,474,5.946018062739509,-369.38,0.43909822225570677
14,97.26738176065072,0.006908074341504394,0.856374867921548,57,429,8.566117765745025,-369.38,0.05353063344955444
15,193.91426886645058,0.0025564007274753997,0.9756247799057175,136,404,6.152641989121535,-330.7,0.1306168842315674
16,90.93008238002777,0.002586173255359207,0.8657900422718616,97,324,8.32367089955092,-369.38,0.09433747053146363
17,63.81353595054782,0.004192374252650029,0.9704336353089823,299,409,0.8854485450607341,-369.38,0.2829509019851685
18,138.1999014216468,0.00838809674320431,0.8812028219164372,204,438,7.007806229396116,-369.38,0.195217866897583
19,59.31855744922151,0.004597340971764641,0.9888040055984612,469,124,5.4648357514432115,-369.38,0.4713960790634155
20,164.82396246812647,0.0020822437357911516,0.8400898421109916,193,375,1.6687959908066414,-369.38,0.18500890016555785
21,85.46408472064488,0.00972927878531433,0.7422919693204184,384,348,9.73526201733899,-369.38,0.3663325881958008
22,130.37796497366912,0.00622799303744032,0.7912876972274626,211,152,5.142435177918509,-369.38,0.20120622873306274
23,68.5105536463679,0.008044026347891706,0.7973328959569902,314,232,2.309142184688234,-369.38,0.3028919863700867
24,178.83406857729773,0.008394992222223297,0.9104728722525911,138,121,1.357979257548457,-369.38,0.1395321488380432
25,135.45274562214513,0.00491473974958254,0.7781973425899347,179,72,2.5278692769799007,-369.38,0.18028478622436522
26,152.80858082597243,0.008431190839282829,0.830670130929769,256,124,5.78663496834358,-369.38,0.2606982731819153
27,82.12019255372896,0.009349629743061876,0.7807479561471424,407,476,2.579519563938762,-369.38,0.3780876803398132
28,137.31880265637417,0.001207384019215833,0.7171818491264565,161,440,9.563266298044137,-369.38,0.15293428182601929
29,170.10081138205464,0.002510288513552879,0.9360535852138507,236,154,6.5501155394198545,-369.38,0.22655270099639893
30,122.42233518724355,0.008457002018060931,0.8601812149778023,208,429,9.027276170067116,-369.38,0.19688709259033202
31,62.399380281104435,0.005754984520583114,0.7693153474743017,427,171,7.785274419638641,-369.38,0.40607389688491824
32,102.06042398607663,0.0030049339902966927,0.9541957790362078,153,421,3.5552802716245693,-369.38,0.14622564792633055
33,138.85909773390085,0.0018765904256601935,0.77492535972871,111,269,3.412869887914287,-369.38,0.1062973666191101
34,122.01345575675454,0.005899059208873225,0.7677503987750902,363,198,2.371499090772426,-369.38,0.3464143419265747
35,190.94123997657923,0.008291944967911172,0.8363905326462319,479,133,1.0958876637832555,-369.38,0.4569027066230774
36,126.71470960912879,0.008200442909748699,0.8325226905250951,366,134,4.5028233369582,-369.38,0.34763038635253907
37,131.35948158945408,0.002805901615660156,0.9832101235567771,126,170,0.6183873248398218,-222.5,0.12024535894393922
38,79.46178503385977,0.00039281339732917,0.7071184868600632,176,334,1.5041502485475995,-369.38,0.16794014930725099
39,129.13686088465136,0.0060126666419228125,0.8883725070331743,463,475,6.480455160154267,-369.38,0.43579745531082154
40,192.14941635174458,0.006224576709250536,0.8953218453759799,107,339,8.95224283217011,-369.38,0.10244603157043457
