Trial,Initial Temperature,Final Temperature,Alpha,Num Iterations,Num Runs,Offset Increase Rate,Energy,Time
0,147.22485389831354,0.004260017291085892,0.9647880675904354,432,371,0.01685887655829851,-3053.58,0.4055804347991943
1,70.71438061515136,0.007046291429668346,0.9333831209763442,913,295,9.091102254077807,-3055.18,0.8671059727668762
2,59.68366709197718,0.009691785956966029,0.9216949412784007,277,658,5.680356834138547,-3055.1,0.24886369466781616
3,78.4542873877657,0.0005931106525667569,0.9070202884255216,821,829,5.489711552185476,-3055.36,0.7384739208221436
4,122.35118618844936,0.0074148850467789,0.9057333613037664,724,604,7.526692476250781,-3055.4,0.6617345285415649
5,138.98081432796084,0.008275921568316599,0.9721475752708637,518,317,0.9447121979154083,-3055.06,0.4992724943161011
6,187.83807491509475,0.009366865851062332,0.9590333076738583,913,963,9.448921888633892,-3055.4,0.8181958723068238
7,180.05792306670128,0.0046799359958469965,0.9783471097590278,312,119,8.630214005217514,-3054.76,0.292063467502594
8,165.62387675765922,0.004789597233153873,0.9608298399992299,710,870,2.6232433016447425,-3055.26,0.6348027896881103
9,70.73180687982232,0.001832061608059005,0.9520041474884159,266,228,4.773323623590149,-3054.2,0.24370724201202393
10,54.02249489428086,0.0038602005684370004,0.9250807444854806,464,165,8.700137632172565,-3054.64,0.43537192106246947
11,172.1207751412655,0.009628667175692458,0.9158610161455599,623,728,1.7441287628377116,-3055.0,0.5443449807167053
12,58.776249779982834,0.00986245306651312,0.9365914602020059,710,813,7.711727311227053,-3055.4,0.636113908290863
13,75.98020187345772,0.0043366612970148835,0.9748590405514689,987,446,6.95720232137235,-3055.4,0.9403340220451355
14,119.41768973460141,0.002499330169541941,0.9499758005790999,706,543,4.752117331706543,-3055.26,0.6618114614486694
15,170.29655550997072,0.003017479742579607,0.9653427209251172,728,834,8.861472556618395,-3055.4,0.6561526155471802
16,156.82083514830663,0.0037286051837716414,0.9621595073758559,641,274,2.82317968187083,-3055.06,0.5918713545799256
17,136.39758449517456,0.009396894878920637,0.9226508466358266,863,481,2.1742735442215197,-3054.84,0.8228603172302246
18,148.33288450175377,0.008397370717904154,0.9778113398184869,105,976,3.371526159425311,-2183.18,0.09866544485092163
19,156.98184173061765,0.0060085660772235825,0.9426645230523,338,477,9.481924198985622,-3055.22,0.3219443249702454
20,68.09261222534332,0.0018889306166279677,0.9160818077409746,136,472,3.6824756755828565,-3052.6,0.13506266593933106
21,185.24761983125933,0.0002359584087964504,0.989228685394695,920,466,7.513316876660852,-3055.4,0.8711794281005859
22,57.858616100112,0.006471373865945026,0.9330133450451463,874,879,1.3688255010189039,-3055.06,0.781935293674469
23,132.36428395714125,0.0023117636167040673,0.929177881839269,408,541,2.282906992890839,-3054.78,0.3881136965751648
24,93.95496516750296,0.003549053355786915,0.9481610226739551,922,517,4.816201249495408,-3055.4,0.8701552176475524
25,174.16668085822542,0.006742325557413213,0.9757330629401819,310,364,0.8579745026613916,-3055.16,0.29871855974197387
26,147.12541768897307,0.0025494386405468315,0.939793250735893,811,747,1.6956381542116825,-3055.16,0.6976628017425537
27,64.18335948640109,0.0033294677650593492,0.9138619006629191,572,564,9.169622137559198,-3055.26,0.535912344455719
28,136.65569106303496,0.0037396509745038506,0.9377992811312618,899,663,8.138720803710727,-3055.32,0.7885600447654724
29,175.81656261188408,0.009074338512510004,0.9875318173131267,413,550,4.67696070764883,-3055.4,0.38844622135162354
30,195.6798236523648,0.009127766389283335,0.9125926363204876,289,430,5.995321679676517,-3055.08,0.27901000022888184
31,104.27772854821353,0.009781770822565143,0.9403900022324819,970,999,9.232129749681034,-3055.4,0.8715772867202759
32,92.5284109711851,0.006526900212684844,0.9270617242610567,271,588,0.7862709251833152,-3053.4,0.24706943988800048
33,50.46384663494284,0.005384841143521744,0.9130663447119314,265,444,8.516250035549632,-3055.14,0.25750218152999876
34,73.90698747967397,0.004386565997879716,0.9406121391507353,710,118,1.7649438356340845,-3049.88,0.6604784536361694
35,111.51305177997747,0.005779373489675174,0.9144336227328718,401,982,6.354419518723671,-3055.3,0.35376059770584106
36,116.65643273382065,0.009509281355811324,0.9832317632184553,609,918,0.557461097195018,-3055.4,0.5417570996284485
37,96.49268258707592,0.0016052305640421021,0.9312582152910197,664,184,2.095288602223537,-3053.52,0.6154691696166992
